Currency,Rates
AED,3.963583
AFN,92.816248
ALL,115.052539
AMD,419.325313
ANG,1.944359
AOA,548.806022
ARS,223.85174
AUD,1.624427
AWG,1.94267
AZN,1.841315
BAM,1.959542
BBD,2.17836
BDT,113.376493
BGN,1.95711
BHD,0.406957
BIF,2244.862578
BMD,1.079261
BND,1.437498
BOB,7.45489
BRL,5.640978
BSD,1.07885
BTC,3.9743249e-05
BTN,88.829551
BWP,14.269785
BYN,2.723111
BYR,21153.512757
BZD,2.174582
CAD,1.474972
CDF,2217.880692
CHF,0.988549
CLF,0.031545
CLP,870.369641
CNY,7.430823
COP,5051.10269
CRC,583.798539
CUC,1.079261
CUP,28.600413
CVE,110.678699
CZK,23.763129
DJF,191.806034
DKK,7.4518
DOP,59.08928
DZD,146.717742
EGP,33.344409
ERN,16.188913
ETB,58.161833
EUR,1.0
FJD,2.394663
FKP,0.882461
GBP,0.878659
GEL,2.779075
GGP,0.882461
GHS,13.055092
GIP,0.882461
GMD,66.509485
GNF,9341.002744
GTQ,8.41784
GYD,227.625161
HKD,8.472063
HNL,26.603943
HRK,7.574548
HTG,167.498287
HUF,386.662472
IDR,16310.113818
ILS,3.875604
IMP,0.882461
INR,88.727101
IQD,1575.720848
IRR,45625.752872
ISK,149.268786
JEP,0.882461
JMD,163.187071
JOD,0.76563
JPY,141.955046
KES,142.046306
KGS,94.348947
KHR,4377.48184
KMF,497.859701
KPW,971.334769
KRW,1402.116339
KWD,0.330783
KYD,0.899088
KZT,493.79146
LAK,18325.849537
LBP,16469.520266
LKR,350.646312
LRD,173.96984
LSL,19.739876
LTL,3.186777
LVL,0.652834
LYD,5.175065
MAD,11.075914
MDL,19.936237
MGA,4681.293563
MKD,61.72787
MMK,2265.552615
MNT,3810.155283
MOP,8.722931
MRO,385.29594
MUR,49.646197
MVR,16.642011
MWK,1101.380647
MXN,19.810621
MYR,4.770873
MZN,68.103835
NAD,19.739843
NGN,498.080445
NIO,39.391123
NOK,11.316045
NPR,142.127442
NZD,1.742526
OMR,0.415483
PAB,1.078825
PEN,4.065602
PGK,3.799463
PHP,58.394475
PKR,306.132931
PLN,4.688946
PYG,7727.540984
QAR,3.929587
RON,4.942694
RSD,117.353436
RUB,82.60122
RWF,1187.18694
SAR,4.053343
SBD,8.871658
SCR,15.071363
SDG,642.160374
SEK,11.215733
SGD,1.437176
SHP,1.31319
SLE,22.421585
SLL,21315.401599
SOS,613.555942
SRD,38.382293
STD,22338.520678
SVC,9.437835
SYP,2711.682112
SZL,19.739573
THB,37.164888
TJS,11.786123
TMT,3.788206
TND,3.361887
TOP,2.544684
TRY,20.602027
TTD,7.337808
TWD,32.7737
TZS,2524.438667
UAH,39.842588
UGX,4069.676802
USD,1.079261
UYU,41.800135
UZS,12319.763106
VEF,2617612.416381
VES,26.302772
VND,25378.819004
VUV,127.362289
WST,3.008783
XAF,657.233678
XAG,0.046917
XAU,0.000552
XCD,2.916756
XDR,0.804109
XOF,657.808304
XPF,120.526497
YER,270.134976
ZAR,19.786036
ZMK,9714.64344
ZMW,22.97924
ZWL,347.521555
